 IAU NAME ALT NAME   RA(J2000.0)     DEC(J2000.0)  RA ERROR DEC ERROR  CCF  EPOCH   FIRST   LAST        #   DELAY RATE    PRI
                   HR MN    SEC     DG MN ARC SEC  TIME SEC ARC SEC          MJD     MJD     MJD       EXP   OBS   OBS

 0446+112 $        04 49  7.671111  11 21 28.59742 0.000015 0.00028  -0.736 47798.8 47393.0 48355.0      6    11    11     2
 0451-282 $        04 53 14.646848 -28 07 37.32689 0.000033 0.00041  -0.945 48282.9 47175.0 48927.0      9    24    24     2
 0454-234 $        04 57  3.179229 -23 24 52.01887 0.000001 0.00005  -0.098 48501.9 46439.0 49398.0    786  9283  9283     1
 0457+024 $        04 59 52.050643  02 29 31.17685 0.000009 0.00020   0.418 47974.4 47004.0 49322.0     17   185   185     1
 0458-020 $        05 01 12.809884 -01 59 14.25522 0.000001 0.00005  -0.065 48904.2 44772.0 49405.0    285  6541  6541     1
 0458+138 $        05 01 45.270837  13 56  7.22101 0.000017 0.00030  -0.781 48169.8 47393.0 48976.0     13    21    21     2
 0459+060 $        05 02 15.445947  06 09  7.49472 0.000028 0.00044  -0.904 47855.0 47393.0 48205.0      7    12    12     2
 0500+019 $        05 03 21.197190  02 03  4.67715 0.000010 0.00017  -0.772 48280.5 47393.0 49183.0     13    87    87     2
 0502+049 $        05 05 23.184732  04 59 42.72546 0.000022 0.00033  -0.895 48032.6 47393.0 49063.0      9    28    28     2
 0454+844 $        05 08 42.363363  84 32  4.54437 0.000047 0.00007  -0.017 48418.8 46976.0 49295.0     34   188   188     1
 0506+101 $        05 09 27.457069  10 11 44.60106 0.000007 0.00014  -0.738 48592.7 47393.0 49032.0     24    46    46     2
 0507+179 $        05 10  2.369130  18 00 41.58238 0.000008 0.00013  -0.587 48480.3 47604.0 49252.0     22   144   144     1
 0511-220 $        05 13 49.114316 -21 59 16.09044 0.000015 0.00023  -0.730 48061.8 47175.0 49097.0     11    34    34     2
 0518+165 3C138    05 21  9.886031  16 38 22.05161 0.000039 0.00082   0.680 48429.0 47930.0 49253.0      8    69    69     2
 0528-250 $        05 30  7.962804 -25 03 29.89859 0.000024 0.00028  -0.304 48566.6 47511.0 49327.0      8    40    40     2
 0528+134 $        05 30 56.416746  13 31 55.15027 0.000001 0.00005   0.086 47826.7 44772.0 49405.0   1303 32612 32612     1
 0529+075 $        05 32 38.998406  07 32 43.34610 0.000055 0.00051   0.000 48751.5 48222.0 49120.0      8    46    46     3
 0537-158 $        05 39 32.010152 -15 50 30.31945 0.000030 0.00058  -0.791 48262.7 47776.0 49030.0     10    12    12     2
 0536+145 $        05 39 42.365998  14 33 45.56327 0.000014 0.00068   0.000 48505.6 47393.0 49032.0     28    52    52     3
 0537-286 $        05 39 54.281425 -28 39 55.94642 0.000017 0.00026   0.198 48889.9 48572.0 49271.0     14    44    44     2
 0539-057 $        05 41 38.083341 -05 41 49.42747 0.000017 0.00047   0.057 48539.3 47175.0 49267.0      3    51    51     2
 0538+498 3C147    05 42 36.137924  49 51  7.23412 0.000051 0.00052   0.588 48723.3 48537.0 48852.0      3    29    29     2
 0544+273 $        05 47 34.148927  27 21 56.84311 0.000028 0.00034  -0.908 48308.5 47393.0 49030.0     15    24    24     2
 0552+398 $        05 55 30.805605  39 48 49.16555 0.000003 0.00004   0.134 47692.5 44088.0 49405.0   1584 73662 73662     1
 0556+238 $        05 59 32.033135  23 53 53.92747 0.000007 0.00012  -0.633 48285.8 47393.0 49030.0     26    51    51     2
 0600+177 $        06 03  9.130276  17 42 16.81129 0.000020 0.00028  -0.948 48354.7 47393.0 49030.0     19    42    42     2
 0605-085 $        06 07 59.699233 -08 34 49.97707 0.000005 0.00012  -0.480 48420.3 44772.0 49032.0     23    99    99     1
 0607-157 $        06 09 40.949495 -15 42 40.67106 0.000009 0.00017  -0.689 48529.9 45465.0 49176.0     16    50    50     2
 0611+131 $        06 13 57.692754  13 06 45.40064 0.000031 0.00199   0.000 48050.3 47393.0 48437.0     12    23    23     3
 0609+607 $        06 14 23.866192  60 46 21.75600 0.000021 0.00015   0.090 47746.1 45465.0 49120.0     15   196   196     1
 0615+820 $        06 26  3.006127  82 02 25.56798 0.000053 0.00010  -0.011 48282.7 47018.0 49295.0     22   182   182     1
 0636+680 $        06 42  4.257378  67 58 35.62123 0.000027 0.00015  -0.154 48815.2 48356.0 49292.0     25   147   147     2
 0642+214 3C166    06 45 24.099509  21 21 51.20229 0.000036 0.00047  -0.972 48530.2 47717.0 49030.0     11    21    21     2
 0642+449 $        06 46 32.025998  44 51 16.59046 0.000005 0.00007   0.010 48604.9 45465.0 49365.0     43   372   372     1
 0648-165 $        06 50 24.581899 -16 37 39.72374 0.000022 0.00029   0.000 46874.0 46874.0 46874.0      1    25    25     3
 0650+371 $        06 53 58.282862  37 05 40.60708 0.000006 0.00011  -0.284 48682.1 48347.0 49032.0     29    65    65     1
 0657+172 $        07 00  1.525540  17 09 21.70241 0.000003 0.00006  -0.137 48385.4 47516.0 49327.0     94   562   562     1
 0707+476 $        07 10 46.104891  47 32 11.14392 0.000015 0.00022   0.128 48237.0 46976.0 49021.0      7    95    95     1
 0710+439 $        07 13 38.164118  43 49 17.20759 0.000021 0.00050   0.000 48679.3 48138.0 49183.0     20   109   109     5
 0711+356 $        07 14 24.817577  35 34 39.79400 0.000016 0.00030  -0.135 47653.2 45465.0 49253.0     12   114   114     1
 0716+714 $        07 21 53.448461  71 20 36.36384 0.000015 0.00008   0.159 47975.1 47164.0 49295.0    120   579   579     1
 0722+145 $        07 25 16.807767  14 25 13.74725 0.000010 0.00016  -0.641 48015.5 47393.0 49120.0     13    61    61     1
 0723-008 $        07 25 50.639953 -00 54 56.54392 0.000013 0.00029   0.114 47431.0 44772.0 49267.0      9   108   108     1
 0718+793 $        07 26 11.735148  79 11 31.01645 0.000079 0.00021  -0.023 48758.5 48222.0 49295.0      2    71    71     2
 0727-115 $        07 30 19.112466 -11 41 12.59936 0.000001 0.00005  -0.115 48449.1 45465.0 49405.0    915 18277 18277     1
 0733-174 $        07 35 45.812497 -17 35 48.50051 0.000025 0.00080  -0.214 49127.5 48918.0 49271.0      4    43    43     2
 0735+178 $        07 38  7.393756  17 42 18.99899 0.000001 0.00004   0.092 48828.1 44772.0 49405.0    354  7630  7630     1
 0736+017 $        07 39 18.033888  01 37  4.61905 0.000006 0.00013  -0.657 47914.2 44772.0 49062.0     27   129   129     2
 0738+313 $        07 41 10.703311  31 12  0.22912 0.000006 0.00008  -0.054 48146.8 45465.0 49201.0     22   493   493     1
 0742+103 $        07 45 33.059506  10 11 12.69334 0.000001 0.00005   0.048 48067.3 44772.0 48983.0    216  4804  4804     1
