0239+108,J0242+11,J0242+1101,02:42:29.170839, 11:01:00.7287410
0240-217,J0242-21,J0242-2132,02:42:35.910200,-21:32:26.1040000
0241+622,J0244+62,J0244+6228,02:44:57.696709, 62:28:06.5146680
0248+430,J0251+43,J0251+4315,02:51:34.536762, 43:15:15.8290200
0252-712,J0252-71,J0252-7104,02:52:46.155968,-71:04:35.2741510
0250+178,J0253+18,J0253+1805,02:53:34.882050, 18:05:42.5272250
0252-549,J0253-54,J0253-5441,02:53:29.180456,-54:41:51.4356120
0256+075,J0259+07,J0259+0747,02:59:27.076624, 07:47:39.6438830
0259+121,J0302+12,J0302+1218,03:02:30.546783, 12:18:56.7502590
0300+470,J0303+47,J0303+4716,03:03:35.242203, 47:16:16.2758600
0302-623,J0303-62,J0303-6211,03:03:50.631367,-62:11:25.5494610
0302+625,J0306+62,J0306+6243,03:06:42.659508, 62:43:02.0244910
0306+102,J0309+10,J0309+1029,03:09:03.623514, 10:29:16.3414840
0308-611,J0309-60,J0309-6058,03:09:56.099201,-60:58:39.0558470
0312-770,J0311-76,J0311-7651,03:11:55.250412,-76:51:50.8481860
0310-150,J0312-14,J0312-1449,03:12:46.398800,-14:49:52.0510000
0309+411,J0313+41,J0313+4120,03:13:01.962115, 41:20:01.1840580
0311+430,J0314+43,J0314+4314,03:14:43.641300, 43:14:05.5620000
0316+162,J0318+16,J0318+1628,03:18:57.801500, 16:28:32.7050000
0317+188,J0319+19,J0319+1901,03:19:51.256615, 19:01:31.2926430
0316+413,3C84,J0319+4130,03:19:48.160100, 41:30:42.1060000
0319+121,J0321+12,J0321+1221,03:21:53.103504, 12:21:13.9543980
0320+053,J0323+05,J0323+0534,03:23:20.274100, 05:34:11.8970000
0326+27,0326+277,J0329+2756,03:29:57.669415, 27:56:15.4998160
0327-241,J0329-23,J0329-2357,03:29:54.070700,-23:57:08.6090000
0332+078,J0334+08,J0334+0800,03:34:53.314100, 08:00:14.3330000
0332-403,J0334-40,J0334-4008,03:34:13.654486,-40:08:25.3965910
0334-546,J0335-54,J0335-5430,03:35:53.924892,-54:30:25.1152230
0334+056,J0336+05,J0336+0545,03:36:43.069100, 05:45:58.1930000
0333+321,J0336+32,J0336+3218,03:36:30.107599, 32:18:29.3427940
0334+014,J0337+01,J0337+0137,03:37:17.109434, 01:37:22.7388530
0334+506,J0337+50,J0337+5045,03:37:43.666800, 50:45:56.2300000
0336-019,CTA26,J0339-0146,03:39:30.937790,-01:46:35.8030820
0338-214,J0340-21,J0340-2119,03:40:35.607937,-21:19:31.1707380
0341+158,J0344+15,J0344+1559,03:44:23.172188, 15:59:43.3700030
0342+147,J0345+14,J0345+1453,03:45:06.416549, 14:53:49.5587500
0345+337,J0348+33,J0348+3353,03:48:46.904500, 33:53:14.9650000
0346-279,J0348-27,J0348-2749,03:48:38.150300,-27:49:13.3000000
0349+727,J0354+72,J0354+7254,03:54:54.992600, 72:54:38.4510000
0355-483,J0357-48,J0357-4812,03:57:21.917866,-48:12:15.1608280
0355+508,J0359+50,J0359+5057,03:59:29.747257, 50:57:50.1620860
0400-319,J0402-31,J0402-3147,04:02:21.266047,-31:47:25.9449180
0400+258,J0403+26,J0403+2600,04:03:05.586055, 26:00:01.5033580
0402-362,J0403-36,J0403-3605,04:03:53.749928,-36:05:01.9122950
0403-132,J0405-13,J0405-1308,04:05:34.003403,-13:08:13.6894350
0405-385,J0406-38,J0406-3826,04:06:59.035370,-38:26:28.0403650
0405-123,J0407-12,J0407-1211,04:07:48.430840,-12:11:36.6586690
0405-331,J0407-33,J0407-3303,04:07:33.921100,-33:03:46.0010000
0405+305,J0408+30,J0408+3032,04:08:20.377531, 30:32:30.4909230
0407-658,J0408-65,J0408-6545,04:08:20.380186,-65:45:09.0784890
0406+121,J0409+12,J0409+1217,04:09:22.008732, 12:17:39.8482510
0406+386,J0409+38,J0409+3848,04:09:22.402400, 38:48:33.2260000
0406-127,J0409-12,J0409-1238,04:09:05.769728,-12:38:48.1428410
0406-180,J0409-17,J0409-1757,04:09:06.700000,-17:57:10.0390000
0409+229,J0412+23,J0412+2305,04:12:43.666700, 23:05:05.4770000
0411-346,J0413-34,J0413-3430,04:13:00.943800,-34:30:10.1930000
0414-189,J0416-18,J0416-1851,04:16:36.544483,-18:51:08.3393770
0413-210,J0416-20,J0416-2056,04:16:04.363900,-20:56:27.6990000
0420+347,J0423+34,J0423+3451,04:23:57.120400, 34:51:46.2210000
0420+417,J0423+41,J0423+4150,04:23:56.009789, 41:50:02.7135180
0420-014,J0423-01,J0423-0120,04:23:15.800725,-01:20:33.0644070
0422+004,J0424+00,J0424+0036,04:24:46.842083, 00:36:06.3306530
0421+019,J0424+02,J0424+0204,04:24:08.563700, 02:04:24.9410000
0422-380,J0424-37,J0424-3756,04:24:42.243710,-37:56:20.7831000
0422+178,J0425+17,J0425+1755,04:25:24.462600, 17:55:25.1220000
0423+051,J0426+05,J0426+0518,04:26:36.604095, 05:18:19.8728050
0422+578,J0426+57,J0426+5757,04:26:51.300000, 57:57:56.4000000
0425+048,J0427+04,J0427+0457,04:27:47.570492, 04:57:08.3270190
0426-380,J0428-37,J0428-3756,04:28:40.424301,-37:56:19.5789810
0427-345,J0429-34,J0429-3426,04:29:47.221000,-34:26:41.7600000
0428+205,J0431+20,J0431+2037,04:31:03.755600, 20:37:34.2530000
0429+415,J0432+41,J0432+4138,04:32:36.503000, 41:38:28.4300000
0431-512,J0432-51,J0432-5109,04:32:21.178125,-51:09:25.1880930
0430+052,3C120,J0433+0521,04:33:11.095564, 05:21:15.6201360
0433+295,J0437+29,J0437+2940,04:37:04.174700, 29:40:15.1360000
0434-188,J0437-18,J0437-1844,04:37:01.482725,-18:44:48.6123540
0435+487,J0438+48,J0438+4848,04:38:59.107800, 48:48:46.5820000
0437-454,J0439-45,J0439-4522,04:39:00.854679,-45:22:22.5626890
0438-436,J0440-43,J0440-4333,04:40:17.179991,-43:33:08.6031670
0439-337,J0441-33,J0441-3340,04:41:33.775400,-33:40:03.7210000
0440-003,J0442-00,J0442-0017,04:42:38.660751,-00:17:43.4192390
0440+345,J0443+34,J0443+3441,04:43:31.635237, 34:41:06.6641500
0445-221,J0447-22,J0447-2203,04:47:37.281500,-22:03:36.8280000
0450-743,J0448-74,J0448-7417,04:48:48.559299,-74:17:31.2463460
0446+112,J0449+11,J0449+1121,04:49:07.671127, 11:21:28.5971760
0444+634,J0449+63,J0449+6332,04:49:23.310415, 63:32:09.4347470
0448-392,J0449-39,J0449-3911,04:49:42.259400,-39:11:09.0560000
0454-810,J0450-81,J0450-8101,04:50:05.440286,-81:01:02.2310460
0451-282,J0453-28,J0453-2807,04:53:14.646857,-28:07:37.3271060
0453-206,J0455-20,J0455-2034,04:55:23.663500,-20:34:14.5110000
0454-463,J0455-46,J0455-4616,04:55:51.110800,-46:16:03.9840000
0454+066,J0457+06,J0457+0645,04:57:07.709400, 06:45:07.1930000
0454-234,J0457-23,J0457-2324,04:57:03.179227,-23:24:52.0189510
0457+024,J0459+02,J0459+0229,04:59:52.050655, 02:29:31.1769160
0458+138,J0501+13,J0501+1356,05:01:45.270836, 13:56:07.2210700
0458-020,J0501-01,J0501-0159,05:01:12.809886,-01:59:14.2552560
0459+060,J0502+06,J0502+0609,05:02:15.445940, 06:09:07.4948300
0459+135,J0502+13,J0502+1338,05:02:33.221100, 13:38:10.8380000
0459+252,J0502+25,J0502+2516,05:02:58.582600, 25:16:24.2420000
0500+019,J0503+02,J0503+0203,05:03:21.197199, 02:03:04.6770170
0503-608,J0504-60,J0504-6049,05:04:01.701277,-60:49:52.5381810
0502+049,J0505+04,J0505+0459,05:05:23.184734, 04:59:42.7254680
0506-612,J0506-61,J0506-6109,05:06:43.988720,-61:09:40.9928820
0454+844,J0508+84,J0508+8432,05:08:42.363350, 84:32:04.5444040
0506+101,J0509+10,J0509+1011,05:09:27.457069, 10:11:44.6011050
0507+179,J0510+18,J0510+1800,05:10:02.369132, 18:00:41.5823970
0509+152,J0512+15,J0512+1517,05:12:41.017200, 15:17:23.4380000
0511-220,J0513-21,J0513-2159,05:13:49.114323,-21:59:16.0906680
0515-674,J0515-67,J0515-6721,05:15:37.537739,-67:21:27.8333110
0514-161,J0516-16,J0516-1603,05:16:15.930000,-16:03:07.6360000
0516-621,J0516-62,J0516-6207,05:16:44.926208,-62:07:05.3886850
0517-726,J0516-72,J0516-7237,05:16:37.718552,-72:37:07.4682570
0517+454,J0520+45,J0520+4528,05:20:47.520000, 45:28:34.9520000
0518+165,3C138,J0521+1638,05:21:09.886008, 16:38:22.0518020
0519-208,J0521-20,J0521-2047,05:21:38.895000,-20:47:39.3880000
0519+011,J0522+01,J0522+0113,05:22:17.471300, 01:13:31.1450000
0521-365,J0522-36,J0522-3627,05:22:57.984653,-36:27:30.8498210
0522-611,J0522-61,J0522-6107,05:22:34.425518,-61:07:57.1329570
