Name,Cal Tag,RA,Dec
J073545-173548,radec gaincal,07:35:45.840,-17:35:48.300
J073833-020421,radec gaincal,07:38:33.910,-02:04:21.100
PKS0742-56,radec gaincal,07:43:20.48,-56:19:32.96
J0743-6726,radec gaincal,07:43:31,-67:26:26
J0744-0629 | 0741-063,radec gaincal,07:44:21.66,-06:29:35.9
PKS0742+103,radec gaincal,07:45:33.06,+10:11:12.69
J075130-385220,radec gaincal,07:51:30.330,-38:52:20.000
J075711-113756,radec gaincal,07:57:11.030,-11:37:56.600
0805-077,radec gaincal,08:08:15.536036,-07:51:09.886340
J082057-125858,radec gaincal,08:20:57.480,-12:58:58.600
J082514-284705,radec gaincal,08:25:14.240,-28:47:5.500
B0823-500,radec gaincal,08:25:26.869,-50:10:38.49
0823+031,radec gaincal,08:25:50.34,03:09:24.52
J082606-353247,radec gaincal,08:26:06.540,-35:32:47.600
J082717-202622,radec gaincal,08:27:17.310,-20:26:22.900
0828-375,radec gaincal,08:28:04.78,-37:31:06.28
J083711-195155,radec gaincal,08:37:11.230,-19:51:55.900
J084126-754031,radec gaincal,08:41:26.190,-75:40:31.100
J084649-294244,radec gaincal,08:46:49.030,-29:42:44.100
J085300-204726,radec gaincal,08:53:00.270,-20:47:26.300
J085348-142751,radec gaincal,08:53:48.920,-14:27:51.800
J085448+200630,radec gaincal,08:54:48.870,+20:06:30.700
J085711-033940,radec gaincal,08:57:11.670,-03:39:40.400
J085805-195036,radec gaincal,08:58:05.370,-19:50:36.200
0858+141,radec gaincal,08:58:41.55,14:09:44.63
J085938-192225,radec gaincal,08:59:38.650,-19:22:25.800
J090147-255519,radec gaincal,09:01:47.610,-25:55:19.400
PKS0859-140,radec gaincal,09:02:16.83,-14:15:30.88
J090652-682939,radec gaincal,09:06:52.230,-68:29:39.900
J092129-261843,radec gaincal,09:21:29.350,-26:18:43.000
J092246-395934,radec gaincal,09:22:46.360,-39:59:34.000
PKS0922+005,radec gaincal,09:25:07.81,+00:19:13.93
0943-0819,radec gaincal,09:43:36.86,-08:19:32.0
1005+077 | 3C237,radec gaincal,10:08:00,7:30:16.5
1018-317,radec gaincal,10:18:09.2675,-31:44:13.983
J102011-324534,radec gaincal,10:20:11.690,-32:45:34.800
1021+2159,radec gaincal,10:21:54.529,21:59:30.440
PKS1034-293,radec gaincal,10:37:16.08,-29:34:02.81
PKSJ1038-7003,radec gaincal,10:38:28.56,-70:03:08.9
PKS1039+029,radec gaincal,10:41:38.88,+02:42:30.816
1039-47,radec gaincal,10:41:44.65,-47:40:00.06
J105104-313813,radec gaincal,10:51:04.750,-31:38:14.100
1049-53,radec gaincal,10:51:09.09981,-53:44:46.5397
J105132-202347,radec gaincal,10:51:32.110,-20:23:47.900
J105533-283133,radec gaincal,10:55:33.480,-28:31:33.700
J105709-371830,radec gaincal,10:57:09.560,-37:18:30.400
J105829+013358,radec gaincal,10:58:29.620,+01:33:58.200
1059-63,radec gaincal,11:01:54.38,-63:25:22.60
J110203-011618,radec gaincal,11:02:03.910,-01:16:18.300
PKS1103-208,radec gaincal,11:06:22.3200,-21:08:59.642
J110631-005251,radec gaincal,11:06:31.770,-00:52:51.500
J110708-444907,radec gaincal,11:07:08.560,-44:49:7.400
PKS1110-217,radec gaincal,11:12:49.85,-21:58:29.35
J111332-021255,radec gaincal,11:13:32.130,-02:12:55.200
J111917-052707,radec gaincal,11:19:17.360,-05:27:07.900
J112009-250807,radec gaincal,11:20:09.140,-25:08:7.200
B1127-145,radec gaincal,11:30:07.0525,-14:49:27.388
J113910-135042,radec gaincal,11:39:10.690,-13:50:42.900
J114134-285052,radec gaincal,11:41:34.540,-28:50:52.100
1143+221,radec gaincal,11:43:25.09,+22:06:56.07
J114628-332840,radec gaincal,11:46:28.530,-33:28:43.200
1148-001,radec gaincal,11:50:43.87,-00:23:54.20
"1151-348 | J1154-3505,J115421-350532",radec gaincal,11:54:21.787,-35:05:29.0763
J120533-263408,radec gaincal,12:05:33.070,-26:34:8.600
J121546-173146,radec gaincal,12:15:46.840,-17:31:46.200
J1218-4600,radec gaincal,12:18:06.250790,-46:00:28.9999260
J122845-212614,radec gaincal,12:28:45.640,-21:26:14.800
3C273,radec gaincal,12:29:06.7,+02:03:08.6
3C274 | Virgo A | M87,radec gaincal,12:30:49.42,+12:23:28.0
