#,SRC,Cal Tag,RA,Dec
254,J1218-4600,radec gaincal,12:18:06.250790,-46:00:28.9999260
255,J122845-212614,radec gaincal,12:28:45.640,-21:26:14.800
256,J122906+020305,radec gaincal,12:29:06.410,+2:03:5.100
257,J123049+122321,radec gaincal,12:30:49.460,+12:23:21.600
258,J123943-102328,radec gaincal,12:39:43.040,-10:23:28.600
259,J124312-211212,radec gaincal,12:43:12.240,-21:12:12.700
260,J124646-254748,radec gaincal,12:46:46.900,-25:47:48.200
261,J124823-195918,radec gaincal,12:48:23.980,-19:59:18.600
262,J125611-054720,radec gaincal,12:56:11.150,-5:47:20.100
263,J125720-333437,radec gaincal,12:57:20.710,-33:34:41.300
264,J125758-315516,radec gaincal,12:57:59.090,-31:55:15.300
265,J130100-322629,radec gaincal,13:01:00.530,-32:26:27.800
266,J130949-001236,radec gaincal,13:09:49.660,-0:12:36.600
267,J132738-020311,radec gaincal,13:27:38.260,-2:03:11.200
268,J133007-214204,radec gaincal,13:30:07.180,-21:42:4.500
269,J133037+250911,radec gaincal,13:30:37.690,+25:09:11.000
270,J133231-255949,radec gaincal,13:32:31.950,-25:59:49.900
271,J133739-125724,radec gaincal,13:37:39.830,-12:57:24.600
272,J133808-062711,radec gaincal,13:38:08.070,-6:27:11.200
273,J134354-373353,radec gaincal,13:43:54.500,-37:33:53.500
274,J134503-314012,radec gaincal,13:45:03.890,-31:40:15.100
275,J134537-005706,radec gaincal,13:45:37.400,-0:57:6.900
276,J135702-140542,radec gaincal,13:57:02.140,-14:05:42.500
277,J140649-015417,radec gaincal,14:06:49.110,-1:54:17.000
278,J141348-055954,radec gaincal,14:13:48.340,-5:59:54.200
279,J141949-192835,radec gaincal,14:19:49.650,-19:28:35.100
280,J142336-181613,radec gaincal,14:23:36.280,-18:16:13.700
281,J1424-4913,radec gaincal,14:24:32.28877,-49:13:50.0425
282,J142432-491350,radec gaincal,14:24:32.080,-49:13:50.700
283,J142558-175642,radec gaincal,14:25:58.030,-17:56:42.200
284,J142756-420618,radec gaincal,14:27:56.220,-42:06:18.600
285,J143257-180134,radec gaincal,14:32:57.770,-18:01:34.200
286,J145423-192505,radec gaincal,14:54:23.430,-19:25:5.400
287,J145432-401230,radec gaincal,14:54:32.870,-40:12:33.000
288,J145915-365548,radec gaincal,14:59:15.810,-36:55:47.600
289,J150704-165230,radec gaincal,15:07:04.800,-16:52:30.200
290,J151053-054307,radec gaincal,15:10:53.550,-5:43:7.100
291,J151155-304503,radec gaincal,15:11:55.740,-30:45:3.000
292,J151250-090600,radec gaincal,15:12:50.540,-9:06:0.900
294,J151741-242220,radec gaincal,15:17:41.850,-24:22:20.000
295,J152237-273010,radec gaincal,15:22:37.710,-27:30:10.500
296,J153353-333711,radec gaincal,15:33:53.410,-33:37:13.000
297,J154402-335228,radec gaincal,15:44:02.880,-33:52:30.700
298,J154403-133056,radec gaincal,15:44:03.080,-13:30:56.400
299,J155035+052710,radec gaincal,15:50:35.260,+05:27:10.600
300,J160502-173415,radec gaincal,16:05:02.120,-17:34:15.900
301,J160512-285908,radec gaincal,16:05:12.500,-28:59:8.400
302,J160913+264129,radec gaincal,16:09:13.310,+26:41:29.200
303,J161317-213407,radec gaincal,16:13:17.390,-21:34:7.100
304,J162019-111332,radec gaincal,16:20:19.800,-11:13:32.300
305,J162100-234203,radec gaincal,16:21:00.120,-23:42:3.700
306,J162418-680911,radec gaincal,16:24:18.520,-68:09:11.400
307,J162546-252739,radec gaincal,16:25:46.930,-25:27:39.100
308,J164349-152623,radec gaincal,16:43:49.150,-15:26:23.600
309,J170241-774158,radec gaincal,17:02:41.410,-77:41:58.100
310,J170541-321924,radec gaincal,17:05:41.500,-32:19:24.800
311,J1712-2809,radec gaincal,17:12:57.01,-28:09:33.6
