#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile,LAS,Xrayref
2201+171, MC1,, 1.067,Q,,,Xray quasar, , H
2216-038, 4C-03.79,, 0.901,Q,,,Xray quasar, , k
2223-052, 3C446,, 1.404,Q,,,Xray quasar, , z
2230+114, 4C11.69,, 1.037,Q,,,Xray quasar, , z
2234+282, B2_2234+282,, 0.795,Q,,,Xray quasar, , l
2251+158, 3C454.3,, 0.859,Q,,,Xray quasar, , k
2251-178, MR2251-178,, 0.068,Q,,,Xray quasar, , k -H
2251+113, 4C11.72,, 0.323,Q,,,Xray quasar, , k
2254+024, PKS2254+024,, 2.090,Q,,,Xray quasar, , z
2344+092, 4C09.74,, 0.677,Q,,,Xray quasar, , z
2345-167, PKS2345-167,, 0.600,Q,,,Xray quasar, , k
