#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile,LAS
1351+267 ,         ,,0.310,Q,,,nilsson, 190.0
1351+318 ,         ,,1.326,Q,,,nilsson,  12.0
1354+195 ,4C19.44  ,,0.720,Q,,,nilsson,  43.7
1354+258 ,         ,,2.032,Q,,,nilsson,  12.0
1356+581 ,4C58.29  ,,1.371,Q,,,nilsson,  45.0
1357+27  ,4C27.27  ,,0.155,G,,,nilsson,  46.0
1357+28  ,         ,,0.063,G,,,nilsson, 139.0
1358-11  ,A1836    ,,0.037,G,,,nilsson, 294.0
1400+162 ,4C16.39  ,,0.245,Q,,,nilsson,  17.0
1404+34  ,3C294    ,,1.779,G,,,nilsson,  15.0
1409+52  ,3C295    ,,0.461,G,,,nilsson,   4.3
1415+172 ,         ,,0.821,Q,,,nilsson,   7.9
1416+067 ,3C298    ,,1.436,Q,,,nilsson,   2.0
1416+159 ,         ,,1.472,Q,,,nilsson,  27.1
1416+36  ,N5557    ,,0.011,G,,,nilsson,1218.0
1420+198 ,3C300    ,,0.270,G,,,nilsson, 100.0
1420+326 ,         ,,0.685,Q,,,nilsson,  31.0
1422+202 ,4C20.33  ,,0.871,Q,,,nilsson,  11.0
1422+26  ,         ,,0.037,G,,,nilsson, 140.0
1423+243 ,4C24.31  ,,0.649,Q,,,nilsson,  20.5
1425+267 ,         ,,0.362,Q,,,nilsson, 240.0
1429+160 ,         ,,1.005,Q,,,nilsson, 167.0
1433+177 ,4C17.59  ,,1.203,Q,,,nilsson,   9.7
1435+172 ,         ,,1.470,Q,,,nilsson,  21.0
1435+248 ,4C24.32  ,,1.010,Q,,,nilsson,   5.5
1435+315 ,         ,,1.366,Q,,,nilsson,  24.0
1441+26  ,         ,,0.062,G,,,nilsson, 230.0
1441+52  ,3C303    ,,0.141,G,,,nilsson,  32.0
1442+117 ,         ,,0.852,Q,,,nilsson,  15.0
1446+20  ,3C304    ,,0.254,G,,,nilsson,  14.0
1447+771 ,3C305.1  ,,1.132,G,,,nilsson,   2.7
1451+097 ,4C09.52  ,,0.632,Q,,,nilsson,  23.0
1452+16  ,3C306    ,,0.046,G,,,nilsson, 228.0
1453-109 ,         ,,0.938,Q,,,nilsson,  41.0
1455+280 ,4C28.38  ,,0.141,G,,,nilsson, 213.0
1455+348 ,         ,,2.732,Q,,,nilsson,   4.8
1458+718 ,3C309.1  ,,0.905,Q,,,nilsson,   2.1
1502+26  ,3C310    ,,0.054,G,,,nilsson, 210.0
1508+08  ,3C313    ,,0.461,G,,,nilsson, 130.0
1509+158 ,4C15.45  ,,0.828,Q,,,nilsson,   9.1
1511+103 ,         ,,1.546,Q,,,nilsson,  33.0
1512+30  ,         ,,0.093,G,,,nilsson,  22.0
1512+370 ,4C37.43  ,,0.371,Q,,,nilsson,  61.0
1517+176 ,         ,,1.390,Q,,,nilsson,  17.9
1522+155 ,         ,,0.628,Q,,,nilsson,  20.0
1522+546 ,3C319    ,,0.192,G,,,nilsson, 105.0
1524+101 ,4C10.43  ,,1.358,Q,,,nilsson,  10.0
1525+290 ,         ,,0.065,G,,,nilsson,  23.0
1528+29  ,         ,,0.084,G,,,nilsson, 235.0
1529+24  ,3C321    ,,0.096,G,,,nilsson, 290.0
1529+357 ,3C320    ,,0.342,G,,,nilsson,  18.0
1530+137 ,4C13.55  ,,0.771,Q,,,nilsson,  11.7
1533+557 ,3C322    ,,1.681,G,,,nilsson,  33.0
1539+343 ,4C34.42  ,,0.402,G,,,nilsson,  63.0
1540+110 ,         ,,0.992,Q,,,nilsson,  37.4
1540+180 ,4C18.43  ,,1.662,Q,,,nilsson,   5.9
1540+60  ,3C323    ,,0.679,G,,,nilsson,  26.0
1545+210 ,3C323.1  ,,0.264,Q,,,nilsson,  70.5
1547+21  ,3C324    ,,1.206,G,,,nilsson,  10.0
1548+114 ,4C11.50  ,,0.436,Q,,,nilsson,  50.0
1549+202 ,3C326    ,,0.090,G,,,nilsson,1170.0
1549+62  ,3C325    ,,0.860,G,,,nilsson,  16.0
1554-203 ,         ,,1.945,Q,,,nilsson,  23.0
1555+332 ,         ,,0.942,Q,,,nilsson,  34.0
1559+021 ,3C327    ,,0.104,G,,,nilsson, 270.0
1602-63  ,         ,,0.059,G,,,nilsson, 438.0
1602-001 ,4C-00.63 ,,1.625,Q,,,nilsson,  25.0
1602+014 ,3C327.1  ,,0.463,G,,,nilsson,  16.0
1606+180 ,4C18.47  ,,0.346,Q,,,nilsson,  13.3
1606+289 ,4C28.40  ,,1.989,Q,,,nilsson,  30.0
1608+113 ,         ,,0.457,Q,,,nilsson,  12.0
1609+31  ,         ,,0.094,G,,,nilsson,  25.0
1609+66  ,3C330    ,,0.550,G,,,nilsson,  56.0
1610-608 ,         ,,0.017,G,,,nilsson, 552.0
1613+27  ,         ,,0.065,G,,,nilsson,  31.0
1615+325 ,3C332    ,,0.152,G,,,nilsson,  91.0
1618+177 ,3C334    ,,0.555,Q,,,nilsson,  46.0
1620+356 ,4C35.41  ,,1.473,Q,,,nilsson,  22.0
1622+158 ,4C15.55  ,,1.406,Q,,,nilsson,   8.1
