0310-150,J0312-148,        , , , 03:12:46.3988, -14:49:52.051, VLA_CalList
0309+411,J0313+413,        , , , 03:13:01.9621,  41:20:01.183, VLA_CalList
0311+430,J0314+432,        , , , 03:14:43.6413,  43:14:05.562, VLA_CalList
0316+162,J0318+164,        , , , 03:18:57.8026,  16:28:32.698, VLA_CalList
0316+413,J0319+415,3C84    , , , 03:19:48.1601,  41:30:42.103, VLA_CalList
0317+188,J0319+190,        , , , 03:19:51.2567,  19:01:31.290, VLA_CalList
0319+121,J0321+123,        , , , 03:21:53.1035,  12:21:13.954, VLA_CalList
0320+053,J0323+055,        , , , 03:23:20.2616,   5:34:11.890, VLA_CalList
0321+467,J0325+469,        , , , 03:25:20.3038,  46:55:06.635, VLA_CalList
0322+222,J0325+226,        , , , 03:25:36.8143,  22:24:00.365, VLA_CalList
0327-241,J0329-239,        , , , 03:29:54.0755, -23:57:08.773, VLA_CalList
0326+277,J0329+279,        , , , 03:29:57.6694,  27:56:15.499, VLA_CalList
0332-403,J0334-401,        , , , 03:34:13.6544, -40:08:25.397, VLA_CalList
0332+078,J0334+080,        , , , 03:34:53.3166,   8:00:14.418, VLA_CalList
0333+321,J0336+323,        , , , 03:36:30.1075,  32:18:29.342, VLA_CalList
0334+056,J0336+057,3C91    , , , 03:36:43.0691,   5:45:58.193, VLA_CalList
0334+014,J0337+016,        , , , 03:37:17.1133,   1:37:22.772, VLA_CalList
0334+506,J0337+507,        , , , 03:37:43.4100,  50:45:52.500, VLA_CalList
0336-019,J0339-017,        , , , 03:39:30.9377,  -1:46:35.803, VLA_CalList
0338-214,J0340-213,        , , , 03:40:35.6078, -21:19:31.172, VLA_CalList
0340+362,J0343+363,        , , , 03:43:28.9524,  36:22:12.429, VLA_CalList
0341+158,J0344+159,        , , , 03:44:23.1721,  15:59:43.369, VLA_CalList
0342+147,J0345+148,        , , , 03:45:06.4165,  14:53:49.558, VLA_CalList
0342+538,J0346+540,        , , , 03:46:34.5041,  54:00:59.100, VLA_CalList
0346-279,J0348-278,        , , , 03:48:38.1445, -27:49:13.565, VLA_CalList
0345+337,J0348+338,3C93.1  , , , 03:48:46.9045,  33:53:14.965, VLA_CalList
0345+460,J0349+461,        , , , 03:49:18.7415,  46:09:59.658, VLA_CalList
0350+465,J0354+467,        , , , 03:54:30.0116,  46:43:18.750, VLA_CalList
0349+727,J0354+729,        , , , 03:54:54.9926,  72:54:38.451, VLA_CalList
0346+800,J0354+801,        , , , 03:54:46.1259,  80:09:28.847, VLA_CalList
0354+231,J0357+233,        , , , 03:57:21.6098,  23:19:53.826, VLA_CalList
0354+599,J0359+600,        , , , 03:59:02.6399,  60:05:22.068, VLA_CalList
0355+508,J0359+509,        , , , 03:59:29.7472,  50:57:50.161, VLA_CalList
0356+322,J0359+323,        , , , 03:59:44.9129,  32:20:47.155, VLA_CalList
0357+057,J0400+058,        , , , 04:00:11.7353,   5:50:43.122, VLA_CalList
0358+040,J0401+042,        , , , 04:01:19.9128,   4:13:34.408, VLA_CalList
0400-319,J0402-317,        , , , 04:02:21.2660, -31:47:25.945, VLA_CalList
0400+258,J0403+260,        , , , 04:03:05.5860,  26:00:01.502, VLA_CalList
0402-362,J0403-360,        , , , 04:03:53.7499, -36:05:01.913, VLA_CalList
0403-132,J0405-131,        , , , 04:05:34.0034, -13:08:13.691, VLA_CalList
0402+379,J0405+380,        , , , 04:05:49.2623,  38:03:32.235, VLA_CalList
0403+064,J0406+066,        , , , 04:06:34.3072,   6:37:14.990, VLA_CalList
0405-385,J0406-384,        , , , 04:06:59.0353, -38:26:28.042, VLA_CalList
0407+075,J0407+077,        , , , 04:07:29.0870,   7:42:07.500, VLA_CalList
0405-331,J0407-330,        , , , 04:07:33.9211, -33:03:46.001, VLA_CalList
0405+305,J0408+305,        , , , 04:08:20.3775,  30:32:30.490, VLA_CalList
0406-127,J0409-126,        , , , 04:09:05.7697, -12:38:48.144, VLA_CalList
0406-180,J0409-179,        , , , 04:09:06.7000, -17:57:10.039, VLA_CalList
0406+121,J0409+122,        , , , 04:09:22.0087,  12:17:39.847, VLA_CalList
0406+386,J0409+388,        , , , 04:09:22.4024,  38:48:33.226, VLA_CalList
0404+768,J0410+769,        , , , 04:10:45.6057,  76:56:45.301, VLA_CalList
0409+000,J0412+001,        , , , 04:12:33.4564,   0:10:48.493, VLA_CalList
