id , Source name , Other name , RA (J2000.0) , Dec (J2000.0) , Redshift , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy)
57 , 5BZQJ1635+3808 , 4C38.41 , 16 35 15.4 , +38 08 04.4 , 1.814 , 2726 , 2656
58 , 5BZQJ1911-2006 , 2E1908.2-2011 , 19 11 09.6 , -20 06 55.1 , 1.119 , 2714 , 2069
59 , 5BZQJ1507-1652 , PKS1504-167 , 15 07 04.7 , -16 52 30.2 , 0.876 , 2711 , 0
60 , 5BZQJ1512-0905 , PKS1510-08 , 15 12 50.5 , -09 05 59.7 , 0.36 , 2701 , 1625
61 , 5BZQJ0336+3218 , NRAO 140 , 03 36 30.1 , +32 18 29.3 , 1.259 , 2677 , 1164
62 , 5BZQJ1337-1257 , PKS1335-127 , 13 37 39.7 , -12 57 24.6 , 0.539 , 2676 , 2772
63 , 5BZQJ2348-1631 , PKS2345-16 , 23 48 02.6 , -16 31 11.9 , 0.576 , 2642 , 1392
64 , 5BZQJ0108+0135 , PKS0106+01 , 01 08 38.7 , +01 35 00.3 , 2.099 , 2621 , 1634
65 , 5BZUJ0840+1312 , 3C207.0 , 08 40 47.5 , +13 12 23.5 , 0.681 , 2614 , 649
66 , 5BZQJ1107-4449 , PKS1104-445 , 11 07 08.6 , -44 49 07.6 , 1.598 , 2595 , 1249
67 , 5BZQJ2148+0657 , 4C06.69 , 21 48 05.4 , +06 57 38.5 , 0.999 , 2590 , 2034
68 , 5BZQJ1357+1919 , 4C19.44 , 13 57 04.4 , +19 19 07.3 , 0.72 , 2586 , 805
69 , 5BZQJ1118-4634 , PKS1116-46 , 11 18 26.9 , -46 34 14.9 , 0.713 , 2570 , 625
70 , 5BZQJ0453-2807 , PKS0451-28 , 04 53 14.6 , -28 07 37.3 , 2.564 , 2541 , 1486
71 , 5BZUJ1625-2527 , OS-237.8 , 16 25 46.8 , -25 27 38.3 , 0.786 , 2521 , 1380
72 , 5BZQJ0059+0006 , 1Jy0056-001 , 00 59 05.5 , +00 06 51.6 , 0.719 , 2510 , 0
73 , 5BZQJ2007+4029 , TEX 2005+403 , 20 07 44.9 , +40 29 48.5 , 1.736 , 2470 , 1507
74 , 5BZQJ0303-6211 , PKS0302-623 , 03 03 50.6 , -62 11 25.5 , 1.391 , 2455 , 0
75 , 5BZQJ0339-0146 , PKS0336-019 , 03 39 30.9 , -01 46 35.7 , 0.85 , 2424 , 827
76 , 5BZQJ1445+0958 , OQ 172 , 14 45 16.4 , +09 58 36.0 , 3.52 , 2418 , 0
77 , 5BZQJ1550+0527 , 4C05.64 , 15 50 35.2 , +05 27 10.4 , 1.422 , 2304 , 1233
78 , 5BZBJ0222+4302 , 3C 66A , 02 22 39.6 , +43 02 07.7 , 0 , 2303 , 498
79 , 5BZUJ0904-5735 , PKS 0903-57 , 09 04 53.1 , -57 35 05.7 , 0.695 ? , 2300 , 399
80 , 5BZUJ1626-2951 , PKS 1622-29 , 16 26 06.0 , -29 51 27.0 , 0.815 ? , 2286 , 1422
81 , 5BZQJ0741+3112 , OI363 , 07 41 10.6 , +31 12 00.2 , 0.631 , 2284 , 0
82 , 5BZQJ1802-3940 , PLCKERC217G352.4 , 18 02 42.6 , -39 40 07.8 , 1.319 , 2273 , 1470
