#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile,LAS,Xrayref,LFVref,etc
1358+624, 4C62.22,, 0.4310,,,,Herbig Readhead
1404+286, OQ208,, 0.0768,,,,Herbig Readhead
1404+344, 3C294,, 1.7800,,,,Herbig Readhead
1409+524, 3C295,, 0.4614,,,,Herbig Readhead
1413+349, OQ323,, 1.00,,,,Herbig Readhead
1414+110, 3C296,, 0.0237,,,,Herbig Readhead
1419+419, 3C299,, 0.3670,,,,Herbig Readhead
1420+198, 3C300,, 0.2700,,,,Herbig Readhead
1441+522, 3C303,, 0.1410,,,,Herbig Readhead
1442+101, OQ172,, 3.5300,,,,Herbig Readhead
1448+634, 3C305,, 0.0410,,,,Herbig Readhead
1458+718, 3C309.1,, 0.9050,,,,Herbig Readhead
1502+106, 4C10.39,, 1.8330,,,,Herbig Readhead
1502+262, 3C310,, 0.0540,,,,Herbig Readhead
1510+709, 3C314.1,, 0.1197,,,,Herbig Readhead
1511+263, 3C315,, 0.1083,,,,Herbig Readhead
1517+204, 3C318,, 0.7520,,,,Herbig Readhead
1522+546, 3C319,, 0.1920,,,,Herbig Readhead
1529+242, 3C321,, 0.0960,,,,Herbig Readhead
1533+577, 3C322,, 1.6810,,,,Herbig Readhead
1538+149, 4C14.60,, 0.60,,,,Herbig Readhead
1547+215, 3C324,, 1.2063,,,,Herbig Readhead
1549+202, 3C326,, 0.0895,,,,Herbig Readhead
1549+628, 3C325,, 0.8600,,,,Herbig Readhead
1557+708, 4C70.19,, 0.0255,,,,Herbig Readhead
1600+335, OS300,, 1.00,,,,Herbig Readhead
1607+268, OS111,, 0.4700,,,,Herbig Readhead
1609+660, 3C330,, 0.5490,,,,Herbig Readhead
1611+343, OS319,, 1.4010,,,,Herbig Readhead
1615+351, NGC6109,, 0.0296,,,,Herbig Readhead
1618+177, 3C334,, 0.5550,,,,Herbig Readhead
1622+238, 3C336,, 0.9270,,,,Herbig Readhead
1624+416, 4C41.32,, 2.5500,,,,Herbig Readhead
1626+278, 3C341,, 0.4480,,,,Herbig Readhead
1626+396, 3C338,, 0.0298,,,,Herbig Readhead
1627+234, 3C340,, 0.7540,,,,Herbig Readhead
1627+444, 3C337,, 0.6300,,,,Herbig Readhead
1633+382, 4C38.41,, 1.8140,,,,Herbig Readhead
1634+628, 3C343,, 0.9880,,,,Herbig Readhead
1637+574, OS562,, 0.7450,,,,Herbig Readhead
1637+626, 3C343.1,, 0.7500,,,,Herbig Readhead
1637+826, NGC6251,, 0.0240,,,,Herbig Readhead
1641+173, 3C346,, 0.1610,,,,Herbig Readhead
1641+399, 3C345,, 0.5950,,,,Herbig Readhead
1642+690, 4C69.21,, 0.7510,,,,Herbig Readhead
1652+398, 4C39.49,, 0.0337,,,,Herbig Readhead
1658+471, 3C349,, 0.2050,,,,Herbig Readhead
